,SMILES,bace,esol,logD
198,OC1=CC=C(Cl)C(CSCC2CCCOC2)=C1,,,
199,CC1(C)COC(C2=CC=CC=C2)CN1CC1CN(C2CC2)C(=O)O1,,,
200,CC(C)C1=CN=C(CN(C)CC2=CC=CC=C2Cl)S1,,,
201,CCCOC(=O)[C@@H](NC(=O)C1=COC(=O)C2=CC=CC=C12)C(C)C,,,
202,COC1=CC(CO)=CC=C1C1=CC=CC2=C1NCC2,,,
203,CCC(C)C1=CC=C(C(=O)N2C[C@@H]3C[C@H]2CN3CC2=CN=C(C)S2)C=C1,,,
204,CC1CN(C2CC2)CC1NC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,,,
205,CCN(CC)C(=O)N1CCC(C(=O)N2CCCC2C(F)(F)F)CC1,,,
206,CCOC1=CC=C(OC(C)(C)C(=O)NS(=O)(=O)C2CCC2)C=C1,,,
207,CCN(C(=O)NC1=C[NH]N=C1C1=NC=CS1)C(C)C1=CC2=CC=CC=C2O1,,,
208,O=C(OCC1CCCS1)C1=CC=CC=C1C(=O)C1=CC=C(Br)C=C1,,,
209,CC1=C(Br)SC(C(=O)NC2=CC=C(C(=O)N(C)C)N=C2)=N1,,,
210,O=C1NCC2=CC(C(=O)N3CCC4=C(C=C(Br)S4)C3)=CC=C12,,,
211,CCN(CC1=CC=CC=C1)C(=O)CNC1=NC=CC(N2CC3=CC=CC=C3C2)=N1,,,
212,CC1CC(C(=O)N2C[C@H]3[C@H](NC(=O)C4=NN(C)C=N4)[C@H]3C2)C1,,,
213,CSCC(C)(C)C(=O)OCC(=O)N1CCCC1(C)C,,,
214,O=C1CCN(CCN2C=CC=N2)C(=O)N1CC1CCC2(CCCCC2)O1,,,
215,O=C(O)CC(F)(F)CNS(=O)(=O)CC1=CC=CC(F)=C1F,,,
216,COC1=CC=CC(SC2=CC=C(NC(=O)C3CCN(S(=O)(=O)C4=CC=CN=C4)CC3)N=C2)=C1,,,
217,CC1=CC=C(O)C(CNC(C)C2=NN=NN2C)=N1,,,
218,O=C(NC1(C(F)F)CCCC1)C1=CC(C(F)(F)F)=CC=N1,,,
219,CCCC(CCO)CNC(=O)C12CC(C(=O)OC)(C1)C2,,,
220,COC(=O)C12CC(C3=NC(C4=CN(C)N=N4)=NO3)(C1)C2,,,
