,SMILES,esol,logD,bace
154,CC1=CC=C(C(NC2=CC=C3C=CN(C)C(=O)C3=C2)C2CCC2)C=C1,-4.569852,0.29624602,4.3512306
155,CCC(C)CCC(=O)NCC1CC(=O)C1,-4.7233486,0.66394347,3.426514
156,COCCN1C=C(CNC(C2=CC=CC(S(C)(=O)=O)=C2)C2=CC=C(C)C=C2C)C=N1,-4.487188,0.9900434,4.3674307
157,CCCNC(=O)CNC(=O)[C@@]1(C)CNC[C@@H]1C,-3.6989472,0.2422207,3.260273
158,CC1=C(C(=O)N2CC3=CC=C(F)C=C3CC2C)SC(C2=C(C)C(C)=NN(C)C2=O)=N1,-5.1220365,1.0804551,3.9831138
159,CN(CCN1CCNCC1)CC1=CC=C(N2C=CN=N2)C=C1,-4.560444,-0.36173514,4.5778704
160,CCCC(NCC1=CC=C(N2C=CC(C(F)(F)F)=N2)C=C1)C(O)C1=CC=CC=C1,-4.658599,1.248615,4.489556
161,CC1=CC=C(SC2(C(=O)NCC3=CC=CC=C3CN3CCC(O)C3)CCCC2)C=C1,-5.018525,1.1979151,4.5807242
162,CC1(NC(=O)C2=N[NH]C3=CC=CC=C23)CCN(C(=O)C2=CC=NC3=C2[NH]N=N3)C1,-4.3655767,1.0573438,4.3661685
163,CCS(=O)(=O)C1=CC=C(N2CCC(NC3CCCC3C3=CC=C(C)C=C3)CC2)C=C1,-4.860318,1.1835785,4.6092334
164,FC(F)(F)CC1CCCN1CC1=NN=C2COCCN21,-4.0195026,0.43979922,3.7131724
165,CCCC1(C)C(=O)NCCN1C(=O)[C@@H]1C[C@H]1C1=CC=CC=C1C(F)(F)F,-4.5313363,0.6779124,3.862163
166,CCOC(=O)CC(C)(C)CCN1CCOCC1CC(O)C1=CC=CC=C1,-4.632603,0.10305712,4.700519
167,CCNC(=O)CNC1CC2(CCC2)C1,-3.9115725,0.70069665,3.6077504
168,CCC(COCC1CC1)NS(=O)(=O)C1=CC(C(=O)O)=C(C)O1,-4.3128314,0.59962624,3.827672
169,CC1=CC=CC=C1CN1CCC(N2C(=O)CC(C(F)(F)F)NC2=O)CC1,-4.39495,1.0100746,4.386147
170,CCN1C=CC(C(=O)NC2CN(C(=O)[C@H]3C[C@H]3C(N)=O)C2)=N1,-4.5364876,0.6071276,3.7674327
171,O=C(NC1=CC=C2C=C(Br)C=NC2=N1)C1=NC=CC=C1OCC(F)(F)F,-4.4023156,1.3535979,4.389437
172,CC(CNC(=O)COC1=CSC=C1)N(C)C(=O)[C@@H]1CC2=CN=CN2C(=O)N1,-4.3781953,0.13001218,4.570161
173,N#CC1=CC(S(=O)(=O)N2CCCC2C2=CC=C(F)C(F)=C2)=CC=C1Cl,-4.7804527,1.0494692,4.1150637
174,COC1=CC=C(OC)C2=C1CN(C(=O)C1=CC=CC(NS(=O)(=O)C3=CC(C)=CC=C3C)=C1)CC2O,-5.1009464,1.5543092,4.8192387
175,COC1=CC=C(C(C)(C)NC(=O)CCOC2=CC=C(Cl)C(Cl)=C2)C=C1F,-4.927737,0.7143721,4.1060658
176,CN(CC1=N[NH]C(C(C)(C)C)=C1)C1CCCN(C2=CC=C(Cl)C(Cl)=C2)C1=O,-4.8454742,0.7692795,3.9662206
177,O=C1NC(C2=CC(C3=CC=CC=N3)=N[NH]2)NC2=C1SC1=CC=CC=C21,-4.3824034,0.76284426,4.538563
178,COC(=O)C1=CC=CC(N(C)C(=O)CCC(=O)N[C@@H](C)C2=CC=CC=C2)=C1C,-4.356538,0.61908597,4.6012807
179,CC(CNC(=O)NC1CCN(C(=O)OC(C)(C)C)C2(CCC2)C1)CN1CCN(C)CC1,-5.018402,1.444137,4.7604446
180,CC(C)(COC1=NC=CC=C1Br)NCC(O)COC1=CC=CC2=C1C=C[NH]2,-4.2858105,0.308338,4.868688
181,CCC1=CC(C(=O)N(CC(C)C)C2=CC=C(C)C=C2C)=CC(=O)[NH]1,-5.1321154,-0.026155677,4.197939
182,CCCC1C2=CC=CC=C2CCN1C(=O)C1NC(=O)OC1C,-4.183095,-0.35032633,4.1732483
